2021-01-25 23:46:47,246 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7618ecec: startup date [Mon Jan 25 23:46:47 BRST 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2021-01-25 23:46:48,600 | INFO  | PListStore:[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2021-01-25 23:46:48,619 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\GIT\GitHub\MyAluraProgress\JMS e ActiveMQ - Mensageria com Java\apache-activemq-5.12.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:46:48,894 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58096-1611625608729-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:46:48,934 | INFO  | Listening for connections at: tcp://GuiDB:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:46:48,935 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:46:48,940 | INFO  | Listening for connections at: amqp://GuiDB:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:46:48,940 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:46:48,943 | INFO  | Listening for connections at: stomp://GuiDB:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:46:48,944 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:46:48,959 | INFO  | Listening for connections at: mqtt://GuiDB:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2021-01-25 23:46:48,960 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:46:49,240 | INFO  | Listening for connections at ws://GuiDB:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2021-01-25 23:46:49,249 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2021-01-25 23:46:49,250 | INFO  | Apache ActiveMQ 5.12.0 (localhost, ID:GuiDB-58096-1611625608729-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2021-01-25 23:46:49,253 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
